"dt","hh","_c2"
"20210828","06",8320853
"20210826","07",8287729
"20210829","01",8328120
"20210825","03",8270090
"20210826","14",8294193
"20210827","01",8304174
"20210826","09",8289771
"20210828","01",8320455
"20210827","10",8308099
"20210825","17",8282346
"20210826","11",8292988
"20210827","16",8314078
"20210826","12",8293256
"20210827","02",8304186
"20210826","00",8286804
"20210826","10",8291157
"20210826","08",8288326
"20210826","19",8301838
"20210826","21",8303349
"20210828","04",8320572
"20210828","11",8323746
"20210826","01",8286832
"20210829","05",8328237
"20210825","16",8280454
"20210825","22",8286231
"20210826","13",8293392
"20210828","22",8327847
"20210829","03",8328153
"20210825","12",8275733
"20210827","23",8320039
"20210828","13",8324071
"20210827","12",8310053
"20210826","22",8303716
"20210825","00",8269956
"20210825","11",8275552
"20210825","18",8283994
"20210827","13",8310366
"20210828","00",8320411
"20210828","08",8321671
"20210826","15",8295706
"20210827","17",8316166
"20210829","02",8328146
"20210827","07",8305041
"20210825","07",8270916
"20210825","10",8274272
"20210826","17",8300211
"20210829","08",8329106
"20210828","02",8320470
"20210828","14",8324338
"20210825","13",8275921
"20210827","08",8305544
"20210827","21",8319376
"20210827","18",8317097
"20210825","08",8271533
"20210825","14",8276955
"20210826","02",8286843
"20210828","12",8323879
"20210828","20",8327358
"20210825","01",8269999
"20210826","06",8287281
"20210827","05",8304307
"20210828","21",8327729
"20210825","09",8272864
"20210827","22",8319598
"20210825","23",8286537
"20210828","09",8322212
"20210825","02",8270038
"20210826","04",8286913
"20210827","03",8304202
"20210827","04",8304228
"20210826","23",8303846
"20210825","06",8270469
"20210827","09",8306708
"20210825","19",8284713
"20210828","15",8324602
"20210828","05",8320657
"20210826","16",8298024
"20210829","07",8328709
"20210828","17",8325796
"20210828","23",8327890
"20210827","06",8304586
"20210825","20",8285549
"20210826","18",8300936
"20210828","03",8320490
"20210826","03",8286857
"20210827","15",8312338
"20210828","19",8327094
"20210825","15",8278661
"20210826","05",8287008
"20210829","09",8329958
"20210825","05",8270222
"20210825","21",8285999
"20210827","11",8309537
"20210829","04",8328172
"20210828","07",8321284
"20210828","10",8323239
"20210828","16",8325224
"20210826","20",8302913
"20210827","14",8311105
"20210827","20",8318921
"20210829","06",8328396
"20210828","18",8326303
"20210827","00",8304155
"20210829","00",8328107
"20210825","04",8270149
"20210827","19",8318213
